length,vocab
100,87
200,154
300,234
400,309
500,378
600,435
700,491
800,553
900,601
1000,659
1100,724
1200,790
1300,853
1400,901
1500,958
1600,1011
1700,1068
1800,1117
1900,1166
2000,1215
2100,1266
2200,1313
2300,1351
2400,1395
2500,1436
2600,1494
2700,1551
2800,1614
2900,1656
3000,1706
3100,1747
3200,1795
3300,1834
3400,1881
3500,1929
3600,1963
3700,2011
3800,2052
3900,2088
4000,2125
4100,2169
4200,2209
4300,2240
4400,2287
4500,2319
4600,2356
4700,2401
4800,2439
4900,2471
5000,2507
5100,2536
5200,2560
5300,2599
5400,2633
5500,2656
5600,2705
5700,2756
5800,2800
5900,2838
6000,2866
6100,2905
6200,2938
6300,2978
6400,3024
6500,3080
6600,3106
6700,3145
6800,3174
6900,3208
7000,3236
7100,3269
7200,3305
7300,3343
7400,3375
7500,3411
7600,3449
7700,3489
7800,3522
7900,3554
8000,3610
8100,3670
8200,3703
8300,3757
8400,3803
8500,3847
8600,3880
8700,3925
8800,3962
8900,3992
9000,4038
9100,4071
9200,4100
9300,4136
9400,4178
9500,4216
9600,4257
9700,4295
9800,4328
9900,4372
10000,4421
10100,4459
10200,4480
10300,4514
10400,4544
10500,4569
10600,4608
10700,4625
10800,4660
10900,4693
11000,4721
11100,4745
11200,4771
11300,4801
11400,4828
11500,4859
11600,4897
11700,4940
11800,4975
11900,5010
12000,5043
12100,5082
12200,5111
12300,5152
12400,5185
12500,5207
12600,5233
12700,5259
12800,5287
12900,5314
13000,5351
13100,5395
13200,5427
13300,5459
13400,5489
13500,5521
13600,5566
13700,5597
13800,5620
13900,5641
14000,5675
14100,5708
14200,5726
14300,5753
14400,5790
14500,5826
14600,5866
14700,5895
14800,5925
14900,5954
15000,5975
15100,6001
15200,6033
15300,6058
15400,6092
15500,6119
15600,6154
15700,6179
15800,6217
15900,6253
16000,6275
16100,6301
16200,6320
16300,6351
16400,6380
16500,6410
16600,6440
16700,6463
16800,6496
16900,6526
17000,6553
17100,6584
17200,6610
17300,6631
17400,6652
17500,6686
17600,6713
17700,6739
17800,6767
17900,6788
18000,6820
18100,6843
18200,6866
18300,6901
18400,6936
18500,6973
18600,6996
18700,7023
18800,7042
18900,7062
19000,7091
19100,7119
19200,7150
19300,7175
19400,7208
19500,7232
19600,7256
19700,7285
19800,7316
19900,7351
20000,7376
20100,7416
20200,7452
20300,7485
20400,7506
20500,7532
20600,7555
20700,7584
20800,7607
20900,7640
21000,7670
21100,7703
21200,7727
21300,7753
21400,7783
21500,7808
21600,7837
21700,7864
21800,7893
21900,7916
22000,7940
22100,7960
22200,7988
22300,8016
22400,8042
22500,8072
22600,8101
22700,8132
22800,8158
22900,8193
23000,8220
23100,8247
23200,8271
23300,8287
23400,8314
23500,8345
23600,8376
23700,8403
23800,8433
23900,8453
24000,8485
24100,8516
24200,8543
24300,8553
24400,8569
24500,8596
24600,8634
24700,8656
24800,8688
24900,8716
25000,8748
25100,8776
25200,8810
25300,8842
25400,8869
25500,8891
25600,8917
25700,8936
25800,8950
25900,8974
26000,8992
26100,9010
26200,9022
26300,9039
26400,9062
