length,vocab
100,85
200,155
300,229
400,293
500,354
600,427
700,503
800,561
900,612
1000,659
1100,718
1200,782
1300,830
1400,882
1500,947
1600,1006
1700,1060
1800,1109
1900,1151
2000,1203
2100,1263
2200,1314
2300,1361
2400,1426
2500,1489
2600,1540
2700,1594
2800,1638
2900,1678
3000,1730
3100,1776
3200,1831
3300,1874
3400,1923
3500,1966
3600,2002
3700,2052
3800,2104
3900,2154
4000,2200
4100,2236
4200,2281
4300,2320
4400,2351
4500,2403
4600,2452
4700,2487
4800,2519
4900,2560
5000,2598
5100,2638
5200,2681
5300,2721
5400,2772
5500,2815
5600,2860
5700,2899
5800,2938
5900,2974
6000,3023
6100,3061
6200,3103
6300,3141
6400,3180
6500,3221
6600,3264
6700,3290
6800,3323
6900,3373
7000,3407
7100,3452
7200,3481
7300,3513
7400,3556
7500,3593
7600,3626
7700,3663
7800,3704
7900,3745
8000,3785
8100,3825
8200,3864
8300,3906
8400,3942
8500,3972
8600,4012
8700,4038
8800,4080
8900,4120
9000,4173
9100,4204
9200,4242
9300,4291
9400,4330
9500,4356
9600,4379
9700,4429
9800,4465
9900,4500
10000,4519
10100,4547
10200,4573
10300,4610
10400,4645
10500,4678
10600,4700
10700,4735
10800,4766
10900,4791
11000,4819
11100,4873
11200,4899
11300,4934
11400,4969
11500,5001
11600,5026
11700,5061
11800,5098
11900,5130
12000,5161
12100,5194
12200,5224
12300,5253
12400,5293
12500,5316
12600,5340
12700,5365
12800,5410
12900,5451
13000,5498
13100,5536
13200,5567
13300,5593
13400,5628
13500,5658
13600,5681
13700,5712
13800,5743
13900,5768
14000,5801
14100,5839
14200,5891
14300,5927
14400,5949
14500,5977
14600,6004
14700,6030
14800,6067
14900,6108
15000,6150
15100,6186
15200,6222
15300,6258
15400,6282
15500,6309
15600,6340
15700,6371
15800,6404
15900,6444
16000,6470
16100,6493
16200,6520
16300,6547
16400,6574
16500,6615
16600,6648
16700,6683
16800,6711
16900,6744
17000,6786
17100,6819
17200,6842
17300,6871
17400,6902
17500,6932
17600,6963
17700,6994
17800,7024
17900,7053
18000,7085
18100,7107
18200,7129
18300,7152
18400,7177
18500,7199
18600,7230
18700,7250
18800,7283
18900,7305
19000,7326
19100,7353
19200,7375
19300,7397
19400,7422
19500,7444
19600,7473
19700,7486
19800,7505
19900,7525
20000,7545
20100,7572
20200,7596
20300,7622
20400,7655
20500,7682
20600,7708
20700,7733
20800,7759
20900,7783
21000,7824
21100,7839
21200,7863
21300,7893
21400,7929
21500,7954
21600,7971
21700,7996
21800,8026
21900,8042
22000,8059
22100,8085
22200,8107
22300,8123
22400,8144
22500,8167
22600,8203
22700,8237
22800,8265
22900,8294
23000,8318
23100,8340
23200,8363
23300,8381
23400,8417
23500,8441
23600,8471
23700,8490
23800,8518
23900,8531
24000,8556
24100,8594
24200,8619
24300,8655
24400,8688
24500,8712
24600,8738
24700,8765
24800,8807
24900,8836
25000,8875
25100,8912
25200,8943
25300,8973
25400,9001
25500,9026
25600,9046
25700,9085
25800,9115
25900,9145
26000,9170
26100,9200
26200,9252
26300,9285
26400,9320
26500,9355
26600,9396
26700,9431
26800,9458
26900,9490
27000,9531
27100,9562
27200,9589
27300,9623
27400,9671
27500,9706
27600,9741
27700,9767
27800,9813
27900,9834
28000,9849
28100,9878
28200,9897
28300,9927
28400,9952
28500,9979
28600,10005
28700,10040
28800,10072
28900,10109
29000,10140
29100,10170
29200,10196
29300,10226
29400,10250
29500,10284
29600,10308
29700,10337
29800,10365
29900,10392
30000,10420
30100,10454
30200,10480
30300,10504
30400,10530
30500,10551
30600,10574
30700,10590
30800,10620
30900,10660
31000,10693
31100,10723
31200,10750
31300,10785
31400,10816
31500,10835
31600,10858
31700,10884
31800,10915
31900,10942
32000,10966
32100,11002
32200,11044
32300,11076
32400,11117
32500,11147
32600,11169
32700,11201
32800,11236
32900,11267
33000,11295
33100,11311
33200,11329
33300,11351
33400,11371
33500,11399
33600,11427
33700,11459
33800,11497
33900,11529
34000,11576
34100,11602
34200,11624
34300,11662
34400,11687
34500,11711
34600,11736
34700,11765
34800,11791
34900,11814
35000,11843
35100,11868
35200,11890
35300,11906
35400,11926
35500,11950
35600,11973
35700,11998
35800,12023
35900,12040
36000,12072
36100,12100
36200,12130
36300,12157
36400,12192
36500,12227
36600,12259
36700,12286
36800,12321
36900,12346
37000,12374
37100,12401
37200,12425
37300,12447
37400,12477
37500,12504
37600,12534
37700,12565
37800,12597
37900,12635
38000,12662
38100,12690
38200,12718
38300,12740
38400,12760
38500,12785
38600,12819
38700,12844
38800,12883
38900,12908
39000,12935
39100,12954
39200,12973
39300,12999
39400,13016
39500,13033
39600,13059
39700,13083
39800,13110
39900,13144
40000,13176
40100,13198
40200,13216
40300,13245
40400,13261
40500,13291
40600,13320
40700,13338
40800,13364
40900,13391
41000,13427
41100,13447
41200,13461
41300,13485
41400,13517
41500,13541
41600,13578
41700,13599
41800,13622
41900,13651
42000,13673
42100,13693
42200,13719
42300,13738
42400,13762
42500,13792
42600,13828
42700,13844
42800,13867
42900,13898
43000,13913
43100,13934
43200,13956
43300,13971
43400,13985
43500,14018
43600,14038
43700,14068
43800,14090
43900,14110
44000,14130
44100,14167
44200,14193
44300,14223
44400,14246
44500,14269
44600,14294
44700,14334
44800,14368
44900,14392
45000,14406
45100,14431
45200,14451
45300,14472
45400,14482
45500,14493
45600,14513
45700,14527
45800,14538
45900,14567
46000,14601
46100,14617
46200,14649
46300,14684
46400,14714
46500,14729
46600,14752
46700,14776
46800,14797
46900,14811
47000,14840
47100,14854
47200,14869
47300,14884
47400,14909
47500,14924
47600,14945
47700,14963
47800,14985
47900,15009
48000,15024
48100,15043
48200,15066
48300,15090
48400,15125
48500,15153
48600,15177
48700,15208
48800,15235
48900,15249
49000,15265
49100,15282
49200,15303
49300,15328
49400,15351
49500,15366
49600,15390
49700,15416
49800,15435
49900,15462
50000,15493
50100,15518
50200,15533
50300,15556
50400,15578
50500,15602
50600,15636
50700,15662
50800,15691
50900,15706
51000,15728
51100,15753
51200,15793
51300,15825
51400,15853
51500,15884
51600,15903
51700,15933
51800,15972
51900,15999
52000,16019
52100,16037
52200,16060
52300,16082
52400,16104
52500,16141
52600,16169
52700,16188
52800,16208
52900,16222
53000,16244
53100,16266
53200,16277
53300,16300
53400,16329
53500,16350
53600,16372
53700,16391
53800,16408
53900,16429
54000,16440
54100,16472
54200,16489
54300,16506
54400,16535
54500,16552
54600,16574
54700,16588
54800,16621
54900,16636
55000,16670
55100,16692
55200,16710
55300,16742
55400,16767
55500,16785
55600,16818
55700,16844
55800,16863
55900,16885
56000,16909
56100,16922
56200,16939
56300,16971
56400,16993
56500,17020
56600,17035
56700,17053
56800,17072
56900,17091
57000,17115
57100,17128
57200,17151
57300,17164
57400,17193
57500,17217
57600,17250
57700,17270
57800,17289
57900,17309
58000,17337
58100,17354
58200,17381
58300,17407
58400,17431
58500,17452
58600,17477
58700,17503
58800,17527
58900,17557
59000,17574
59100,17589
59200,17611
59300,17644
59400,17670
59500,17706
59600,17738
59700,17759
59800,17796
59900,17825
60000,17839
60100,17850
60200,17864
60300,17885
60400,17910
60500,17932
60600,17957
60700,17983
60800,18008
60900,18028
61000,18044
61100,18056
61200,18069
61300,18092
61400,18112
61500,18135
61600,18164
61700,18192
61800,18209
61900,18235
62000,18267
62100,18285
62200,18313
62300,18341
62400,18367
62500,18401
62600,18419
62700,18443
62800,18475
62900,18495
63000,18509
63100,18531
63200,18559
63300,18585
63400,18606
63500,18637
63600,18666
63700,18693
63800,18720
63900,18751
64000,18762
