,length,vocab
0,100,39
1,200,49
2,300,51
3,400,52
4,500,59
5,600,62
6,700,67
7,800,67
8,900,74
9,1000,77
10,1100,77
11,1200,77
12,1300,77
13,1400,84
14,1500,88
15,1600,89
16,1700,89
17,1800,90
18,1900,90
19,2000,91
20,2100,91
21,2200,91
22,2300,91
23,2400,91
24,2500,93
25,2600,95
26,2700,95
27,2800,95
28,2900,95
29,3000,95
30,3100,95
31,3200,98
32,3300,103
33,3400,103
34,3500,103
35,3600,103
36,3700,103
37,3800,103
38,3900,103
39,4000,103
40,4100,104
41,4200,104
42,4300,104
43,4400,104
44,4500,106
45,4600,106
46,4700,106
47,4800,107
48,4900,108
49,5000,108
50,5100,108
51,5200,108
52,5300,108
53,5400,108
54,5500,109
55,5600,116
56,5700,116
57,5800,116
58,5900,116
59,6000,116
60,6100,117
61,6200,118
62,6300,120
63,6400,120
64,6500,120
65,6600,121
66,6700,121
67,6800,121
68,6900,121
69,7000,123
70,7100,123
71,7200,123
72,7300,124
73,7400,124
74,7500,124
75,7600,126
76,7700,126
77,7800,126
78,7900,127
79,8000,127
80,8100,127
81,8200,128
82,8300,131
83,8400,132
84,8500,132
85,8600,132
86,8700,132
87,8800,132
88,8900,132
89,9000,132
90,9100,132
91,9200,135
92,9300,135
93,9400,136
94,9500,136
95,9600,136
96,9700,136
97,9800,138
98,9900,139
99,10000,140
100,10100,143
101,10200,143
102,10300,143
103,10400,143
104,10500,143
105,10600,143
106,10700,143
107,10800,143
108,10900,144
109,11000,145
110,11100,145
111,11200,145
112,11300,145
113,11400,145
114,11500,146
115,11600,147
116,11700,149
117,11800,149
118,11900,149
119,12000,149
120,12100,149
121,12200,149
122,12300,150
123,12400,150
124,12500,151
125,12600,151
126,12700,152
127,12800,152
128,12900,152
129,13000,152
130,13100,152
131,13200,152
132,13300,152
133,13400,155
134,13500,156
135,13600,157
136,13700,157
137,13800,157
138,13900,157
139,14000,157
140,14100,157
141,14200,158
142,14300,159
143,14400,160
144,14500,161
145,14600,161
146,14700,163
147,14800,163
148,14900,163
149,15000,163
150,15100,163
151,15200,163
152,15300,163
153,15400,170
154,15500,170
155,15600,170
156,15700,170
157,15800,170
158,15900,170
159,16000,170
160,16100,171
161,16200,171
162,16300,171
163,16400,172
164,16500,172
165,16600,172
166,16700,172
167,16800,173
168,16900,173
169,17000,175
170,17100,175
171,17200,175
172,17300,175
173,17400,175
174,17500,176
175,17600,176
176,17700,176
177,17800,176
178,17900,176
179,18000,176
180,18100,177
181,18200,177
182,18300,177
183,18400,177
184,18500,177
185,18600,178
186,18700,178
187,18800,178
188,18900,178
189,19000,178
190,19100,178
191,19200,178
192,19300,178
193,19400,181
194,19500,181
195,19600,181
196,19700,181
197,19800,181
198,19900,181
199,20000,181
200,20100,181
201,20200,183
202,20300,183
203,20400,183
204,20500,183
205,20600,183
206,20700,184
207,20800,184
208,20900,184
209,21000,184
210,21100,184
211,21200,184
212,21300,184
213,21400,184
214,21500,184
215,21600,184
216,21700,187
217,21800,187
218,21900,187
219,22000,188
220,22100,188
221,22200,188
222,22300,188
223,22400,188
224,22500,188
225,22600,188
226,22700,188
227,22800,188
228,22900,188
229,23000,189
230,23100,190
231,23200,190
232,23300,191
233,23400,191
234,23500,192
235,23600,192
236,23700,192
237,23800,194
238,23900,194
239,24000,196
240,24100,196
241,24200,196
242,24300,196
243,24400,196
244,24500,197
245,24600,197
246,24700,197
247,24800,197
248,24900,197
249,25000,197
250,25100,197
251,25200,197
252,25300,199
253,25400,200
254,25500,200
255,25600,200
256,25700,200
257,25800,200
258,25900,200
259,26000,200
260,26100,200
261,26200,200
262,26300,201
263,26400,201
264,26500,201
265,26600,201
266,26700,203
267,26800,203
268,26900,203
269,27000,203
270,27100,203
271,27200,203
272,27300,203
273,27400,203
274,27500,204
275,27600,204
276,27700,204
277,27800,204
278,27900,204
279,28000,204
280,28100,204
281,28200,204
282,28300,206
283,28400,206
284,28500,206
285,28600,207
286,28700,207
287,28800,207
288,28900,207
289,29000,207
290,29100,207
291,29200,207
292,29300,207
293,29400,207
294,29500,209
295,29600,210
296,29700,212
297,29800,212
298,29900,212
299,30000,212
300,30100,212
301,30200,214
302,30300,214
303,30400,215
304,30500,216
305,30600,217
306,30700,217
307,30800,217
308,30900,217
309,31000,217
310,31100,217
311,31200,217
312,31300,217
313,31400,218
314,31500,218
315,31600,218
316,31700,218
317,31800,218
318,31900,218
319,32000,219
320,32100,219
321,32200,219
322,32300,219
323,32400,219
324,32500,219
325,32600,219
326,32700,219
327,32800,219
328,32900,219
329,33000,219
330,33100,219
331,33200,219
332,33300,219
333,33400,219
334,33500,219
335,33600,219
336,33700,219
337,33800,219
338,33900,222
339,34000,224
340,34100,225
341,34200,225
342,34300,226
343,34400,226
344,34500,226
345,34600,226
346,34700,226
347,34800,226
348,34900,226
349,35000,227
350,35100,227
351,35200,227
352,35300,227
353,35400,227
354,35500,227
355,35600,229
356,35700,229
357,35800,229
358,35900,229
359,36000,229
360,36100,229
361,36200,230
362,36300,230
363,36400,230
364,36500,230
365,36600,230
366,36700,232
367,36800,232
368,36900,232
369,37000,232
370,37100,232
371,37200,233
372,37300,233
373,37400,234
374,37500,234
375,37600,234
376,37700,234
377,37800,234
378,37900,234
379,38000,234
380,38100,234
381,38200,234
382,38300,234
383,38400,235
384,38500,235
385,38600,236
386,38700,236
387,38800,236
388,38900,236
389,39000,236
390,39100,236
391,39200,236
392,39300,236
393,39400,236
394,39500,236
395,39600,236
396,39700,236
397,39800,236
398,39900,236
399,40000,236
400,40100,236
401,40200,236
402,40300,236
403,40400,236
404,40500,236
405,40600,236
406,40700,236
407,40800,236
408,40900,236
409,41000,237
410,41100,237
411,41200,237
412,41300,240
413,41400,240
414,41500,240
415,41600,241
416,41700,241
417,41800,241
418,41900,241
419,42000,241
420,42100,241
421,42200,241
422,42300,241
423,42400,241
424,42500,241
425,42600,241
426,42700,241
427,42800,242
428,42900,243
429,43000,244
430,43100,244
431,43200,244
432,43300,244
433,43400,244
434,43500,244
435,43600,244
436,43700,244
437,43800,244
438,43900,246
439,44000,246
440,44100,246
441,44200,246
442,44300,246
443,44400,246
444,44500,246
445,44600,246
446,44700,246
447,44800,246
448,44900,246
449,45000,247
450,45100,247
451,45200,247
452,45300,247
453,45400,247
454,45500,247
455,45600,247
456,45700,247
457,45800,247
458,45900,247
459,46000,247
460,46100,247
461,46200,247
462,46300,247
463,46400,247
464,46500,247
465,46600,247
466,46700,247
467,46800,247
468,46900,247
469,47000,247
470,47100,247
471,47200,247
472,47300,247
473,47400,247
474,47500,247
475,47600,248
476,47700,248
477,47800,248
478,47900,248
479,48000,248
480,48100,249
481,48200,250
482,48300,250
483,48400,250
484,48500,250
485,48600,250
486,48700,250
487,48800,250
488,48900,251
489,49000,251
490,49100,251
491,49200,251
492,49300,251
493,49400,251
494,49500,252
495,49600,252
496,49700,252
497,49800,253
498,49900,253
499,50000,253
500,50100,253
501,50200,253
502,50300,253
503,50400,253
504,50500,253
505,50600,254
506,50700,254
507,50800,254
508,50900,254
509,51000,254
510,51100,254
511,51200,254
512,51300,254
513,51400,254
514,51500,254
515,51600,254
516,51700,255
517,51800,255
518,51900,255
519,52000,255
520,52100,255
521,52200,255
522,52300,255
523,52400,255
524,52500,255
525,52600,255
526,52700,255
527,52800,256
528,52900,256
529,53000,256
530,53100,256
531,53200,256
532,53300,256
533,53400,256
534,53500,256
535,53600,256
536,53700,256
537,53800,257
538,53900,257
539,54000,257
540,54100,257
541,54200,257
542,54300,257
543,54400,257
544,54500,258
545,54600,258
546,54700,258
547,54800,258
548,54900,258
549,55000,258
550,55100,258
551,55200,258
552,55300,258
553,55400,258
554,55500,258
555,55600,258
556,55700,258
557,55800,258
558,55900,259
559,56000,259
560,56100,259
561,56200,259
562,56300,259
563,56400,259
564,56500,259
565,56600,260
566,56700,260
567,56800,260
568,56900,260
569,57000,261
570,57100,261
571,57200,261
572,57300,261
573,57400,261
574,57500,261
575,57600,261
576,57700,261
577,57800,261
578,57900,261
579,58000,261
580,58100,261
581,58200,261
582,58300,261
583,58400,261
584,58500,262
585,58600,262
586,58700,262
587,58800,262
588,58900,262
589,59000,263
590,59100,263
591,59200,263
592,59300,263
593,59400,263
594,59500,265
595,59600,265
596,59700,265
597,59800,265
598,59900,265
599,60000,265
600,60100,265
601,60200,265
602,60300,265
603,60400,265
604,60500,265
605,60600,265
606,60700,265
607,60800,265
608,60900,265
609,61000,265
610,61100,265
611,61200,265
612,61300,265
613,61400,265
614,61500,265
615,61600,265
616,61700,265
617,61800,265
618,61900,266
619,62000,266
620,62100,266
621,62200,266
622,62300,266
623,62400,266
624,62500,266
625,62600,266
626,62700,266
627,62800,266
628,62900,267
629,63000,267
630,63100,267
631,63200,267
632,63300,267
633,63400,267
634,63500,267
635,63600,267
636,63700,267
637,63800,267
638,63900,267
639,64000,267
640,64100,267
641,64200,267
642,64300,267
643,64400,267
644,64500,267
645,64600,267
646,64700,267
647,64800,267
648,64900,267
649,65000,267
650,65100,267
651,65200,267
652,65300,268
653,65400,268
654,65500,268
655,65600,268
656,65700,268
657,65800,268
658,65900,268
659,66000,269
660,66100,270
661,66200,271
662,66300,271
663,66400,271
664,66500,271
665,66600,271
666,66700,271
667,66800,271
668,66900,271
669,67000,271
670,67100,271
671,67200,271
672,67300,271
673,67400,271
674,67500,271
675,67600,271
676,67700,271
677,67800,271
678,67900,271
679,68000,271
680,68100,271
681,68200,271
682,68300,271
683,68400,272
684,68500,272
685,68600,272
686,68700,272
687,68800,272
688,68900,272
689,69000,272
690,69100,272
691,69200,273
692,69300,273
693,69400,274
694,69500,274
695,69600,274
696,69700,274
697,69800,274
698,69900,274
699,70000,274
700,70100,274
701,70200,274
702,70300,274
703,70400,275
704,70500,275
705,70600,276
706,70700,276
707,70800,276
708,70900,276
709,71000,277
710,71100,277
711,71200,277
712,71300,277
713,71400,277
714,71500,277
715,71600,277
716,71700,277
717,71800,277
718,71900,278
719,72000,278
720,72100,280
721,72200,280
722,72300,280
723,72400,280
724,72500,280
725,72600,280
726,72700,280
727,72800,280
728,72900,280
729,73000,280
730,73100,280
731,73200,280
732,73300,280
733,73400,280
734,73500,280
735,73600,280
736,73700,281
737,73800,281
738,73900,281
739,74000,281
740,74100,281
741,74200,281
742,74300,281
743,74400,281
744,74500,281
745,74600,281
746,74700,281
747,74800,281
748,74900,281
749,75000,281
750,75100,281
751,75200,281
752,75300,281
753,75400,281
754,75500,281
755,75600,281
756,75700,281
757,75800,281
758,75900,281
759,76000,281
760,76100,281
761,76200,281
762,76300,282
763,76400,282
764,76500,283
765,76600,283
766,76700,285
767,76800,285
768,76900,285
769,77000,285
770,77100,286
771,77200,287
772,77300,287
773,77400,288
774,77500,288
775,77600,288
776,77700,288
777,77800,288
778,77900,288
779,78000,288
780,78100,288
781,78200,288
782,78300,288
783,78400,288
784,78500,288
785,78600,289
786,78700,289
787,78800,289
788,78900,289
789,79000,289
790,79100,289
791,79200,289
792,79300,289
793,79400,289
794,79500,291
795,79600,291
796,79700,291
797,79800,291
798,79900,291
799,80000,291
800,80100,291
801,80200,291
802,80300,291
803,80400,291
804,80500,291
805,80600,291
806,80700,291
807,80800,291
808,80900,291
809,81000,291
810,81100,291
811,81200,291
812,81300,291
813,81400,291
814,81500,291
815,81600,291
816,81700,291
817,81800,291
818,81900,291
819,82000,291
820,82100,291
821,82200,291
822,82300,291
823,82400,291
824,82500,291
825,82600,291
826,82700,291
827,82800,291
828,82900,291
829,83000,291
830,83100,291
831,83200,291
832,83300,291
833,83400,291
834,83500,291
835,83600,291
836,83700,291
837,83800,291
838,83900,291
839,84000,291
840,84100,291
841,84200,291
842,84300,291
843,84400,291
844,84500,291
845,84600,291
846,84700,291
847,84800,291
848,84900,291
849,85000,291
850,85100,291
851,85200,291
852,85300,291
853,85400,291
854,85500,291
855,85600,291
856,85700,292
857,85800,292
858,85900,292
859,86000,292
860,86100,292
861,86200,292
862,86300,292
863,86400,292
864,86500,292
865,86600,293
866,86700,293
867,86800,293
868,86900,293
869,87000,293
870,87100,293
871,87200,293
872,87300,293
873,87400,293
874,87500,293
875,87600,293
876,87700,294
877,87800,294
878,87900,294
879,88000,294
880,88100,294
881,88200,296
882,88300,296
883,88400,296
884,88500,296
885,88600,296
